table_name,Condition,n,extract,verdict,cert,full,not_extractable,verdict_wrong,certificate_invalid,correct,gold_verdict,certificate_type,failure_category,count,percentage,comparison,first_condition,second_condition,shared_items,item_id_alignment,both_correct,first_only_correct,second_only_correct,both_incorrect,mcnemar_p_value,full_diff_point,full_diff_ci_low,full_diff_ci_high,cert_diff_point,cert_diff_ci_low,cert_diff_ci_high
by_certificate_type,R2A,49,,,1.0,1.0,,,0,,,distinguishing_trace,,,,,,,,,,,,,,,,,,,
by_certificate_type,R2B,51,,,0.0,0.0,,,51,,,equivalence_witness,,,,,,,,,,,,,,,,,,,
by_certificate_type,R2B,49,,,0.98,0.98,,,1,,,distinguishing_trace,,,,,,,,,,,,,,,,,,,
by_certificate_type,R2C,51,,,0.98,0.98,,,0,,,equivalence_witness,,,,,,,,,,,,,,,,,,,
by_certificate_type,R2C,49,,,1.0,1.0,,,0,,,distinguishing_trace,,,,,,,,,,,,,,,,,,,
by_certificate_type,Frozen R2,51,,,0.98,0.98,,,0,,,equivalence_witness,,,,,,,,,,,,,,,,,,,
by_certificate_type,Frozen R2,49,,,1.0,1.0,,,0,,,distinguishing_trace,,,,,,,,,,,,,,,,,,,
failure_taxonomy,R1,,,,,,,,,,,,equivalence_hash_mismatch,51,0.944,,,,,,,,,,,,,,,,
failure_taxonomy,R1,,,,,,,,,,,,acceptance_mismatch,2,0.037,,,,,,,,,,,,,,,,
failure_taxonomy,R1,,,,,,,,,,,,replay_failure,1,0.019,,,,,,,,,,,,,,,,
failure_taxonomy,Oracle+Format,,,,,,,,,,,,equivalence_hash_mismatch,51,0.773,,,,,,,,,,,,,,,,
failure_taxonomy,Oracle+Format,,,,,,,,,,,,acceptance_mismatch,14,0.212,,,,,,,,,,,,,,,,
failure_taxonomy,Oracle+Format,,,,,,,,,,,,replay_failure,1,0.015,,,,,,,,,,,,,,,,
failure_taxonomy,R2A,,,,,,,,,,,,equivalence_hash_mismatch,51,1.0,,,,,,,,,,,,,,,,
failure_taxonomy,R2B,,,,,,,,,,,,equivalence_hash_mismatch,51,0.981,,,,,,,,,,,,,,,,
failure_taxonomy,R2B,,,,,,,,,,,,acceptance_mismatch,1,0.019,,,,,,,,,,,,,,,,
paired_comparisons,,,,,,,,,,,,,,,,R1 vs Oracle+Format,R1,Oracle+Format,100,perfect,32,14,2,52,0.004180908203125,0.12,0.05,0.19,0.12,0.04,0.2
paired_comparisons,,,,,,,,,,,,,,,,R1 vs R2A,R1,R2A,100,perfect,46,0,3,51,0.25,-0.03,-0.07,0.0,-0.03,-0.0603,0.0
paired_comparisons,,,,,,,,,,,,,,,,R1 vs R2B,R1,R2B,100,perfect,45,1,3,51,0.625,-0.02,-0.06,0.02,-0.02,-0.06,0.02
paired_comparisons,,,,,,,,,,,,,,,,R2A vs R2C,R2A,R2C,100,perfect,49,0,50,1,1.7763568394002505e-15,-0.5,-0.6,-0.4,-0.5,-0.6,-0.39
paired_comparisons,,,,,,,,,,,,,,,,R2B vs R2C,R2B,R2C,100,perfect,48,0,51,1,8.881784197001252e-16,-0.51,-0.62,-0.41,-0.51,-0.61,-0.4098
